 x,y,z,phi_inf,phi_d,phi_s,phi,Phi,v_inf_x,v_inf_y,v_inf_z,v_d_x,v_d_y,v_d_z,v_s_x,v_s_y,v_s_z,v_x,v_y,v_z,V_x,V_y,V_z,V
 0.3835284000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3835284000000E+03,-0.4477085243758E-03,-0.1679499567809E-01,-0.1724270420247E-01, 0.3835111572958E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.2438790307765E-03, 0.0000000000000E+00,-0.4234526978964E-03,-0.8603876317354E-03, 0.0000000000000E+00,-0.1528977093426E-02,-0.1104266662512E-02, 0.0000000000000E+00,-0.1952429791322E-02, 0.9988957333375E+00, 0.0000000000000E+00,-0.1952429791322E-02, 0.9988976414338E+00
 0.3837086000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3837086000000E+03,-0.4842091796103E-03,-0.1695725890837E-01,-0.1744146808798E-01, 0.3836911585319E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1770621275279E-03, 0.0000000000000E+00,-0.3078068180901E-03,-0.9264228586150E-03, 0.0000000000000E+00,-0.1643724794336E-02,-0.1103484986143E-02, 0.0000000000000E+00,-0.1951531612426E-02, 0.9988965150139E+00, 0.0000000000000E+00,-0.1951531612426E-02, 0.9988984213535E+00
 0.3838887000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3838887000000E+03,-0.5136655308518E-03,-0.1712705550195E-01,-0.1764072103280E-01, 0.3838710592790E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1838519764804E-03, 0.0000000000000E+00,-0.3196355170364E-03,-0.9714512850915E-03, 0.0000000000000E+00,-0.1722105173890E-02,-0.1155303261572E-02, 0.0000000000000E+00,-0.2041740690926E-02, 0.9988446967384E+00, 0.0000000000000E+00,-0.2041740690926E-02, 0.9988467834996E+00
 0.3840689000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3840689000000E+03,-0.5487027599283E-03,-0.1730296820279E-01,-0.1785167096272E-01, 0.3840510483290E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1956001291816E-03, 0.0000000000000E+00,-0.3400650394438E-03,-0.9797854522025E-03, 0.0000000000000E+00,-0.1736944152816E-02,-0.1175385581384E-02, 0.0000000000000E+00,-0.2077009192260E-02, 0.9988246144186E+00, 0.0000000000000E+00,-0.2077009192260E-02, 0.9988267739381E+00
 0.3842491000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3842491000000E+03,-0.5868580505576E-03,-0.1747863468160E-01,-0.1806549273216E-01, 0.3842310345073E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1916689794512E-03, 0.0000000000000E+00,-0.3333443902119E-03,-0.1000012839418E-02, 0.0000000000000E+00,-0.1772381377910E-02,-0.1191681818869E-02, 0.0000000000000E+00,-0.2105725768122E-02, 0.9988083181811E+00, 0.0000000000000E+00,-0.2105725768122E-02, 0.9988105378643E+00
 0.3844293000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3844293000000E+03,-0.6183123254524E-03,-0.1766146794229E-01,-0.1827978026774E-01, 0.3844110202197E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1658432021974E-03, 0.0000000000000E+00,-0.2886860335734E-03,-0.1020198847856E-02, 0.0000000000000E+00,-0.1807763722656E-02,-0.1186042050053E-02, 0.0000000000000E+00,-0.2096449756229E-02, 0.9988139579499E+00, 0.0000000000000E+00,-0.2096449756229E-02, 0.9988161581078E+00
 0.3846095000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3846095000000E+03,-0.6477170575779E-03,-0.1784692622010E-01,-0.1849464327767E-01, 0.3845910053567E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1614842633345E-03, 0.0000000000000E+00,-0.2812045446074E-03,-0.1040099849340E-02, 0.0000000000000E+00,-0.1842658888164E-02,-0.1201584112674E-02, 0.0000000000000E+00,-0.2123863432772E-02, 0.9987984158873E+00, 0.0000000000000E+00,-0.2123863432772E-02, 0.9988006739960E+00
 0.3847896000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3847896000000E+03,-0.6775968086175E-03,-0.1803948015001E-01,-0.1871707695863E-01, 0.3847708829230E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1617235338733E-03, 0.0000000000000E+00,-0.2816881399942E-03,-0.1074987644206E-02, 0.0000000000000E+00,-0.1903527652123E-02,-0.1236711178079E-02, 0.0000000000000E+00,-0.2185215792117E-02, 0.9987632888219E+00, 0.0000000000000E+00,-0.2185215792117E-02, 0.9987656793595E+00
 0.3849698000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3849698000000E+03,-0.7047526853330E-03,-0.1823374600941E-01,-0.1893849869474E-01, 0.3849508615013E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1436956001804E-03, 0.0000000000000E+00,-0.2505259752779E-03,-0.1080632012204E-02, 0.0000000000000E+00,-0.1913749779118E-02,-0.1224327612384E-02, 0.0000000000000E+00,-0.2164275754396E-02, 0.9987756723876E+00, 0.0000000000000E+00,-0.2164275754396E-02, 0.9987780173006E+00
 0.3851500000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3851500000000E+03,-0.7286300582244E-03,-0.1842724527662E-01,-0.1915587533484E-01, 0.3851308441247E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1353579395630E-03, 0.0000000000000E+00,-0.2361403193854E-03,-0.1082191896331E-02, 0.0000000000000E+00,-0.1916895563555E-02,-0.1217549835894E-02, 0.0000000000000E+00,-0.2153035882941E-02, 0.9987824501641E+00, 0.0000000000000E+00,-0.2153035882941E-02, 0.9987847707686E+00
 0.3853302000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3853302000000E+03,-0.7536004839528E-03,-0.1862984847007E-01,-0.1938344895403E-01, 0.3853108165510E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1400817825731E-03, 0.0000000000000E+00,-0.2443802527478E-03,-0.1141756188178E-02, 0.0000000000000E+00,-0.2020528526827E-02,-0.1281837970751E-02, 0.0000000000000E+00,-0.2264908779575E-02, 0.9987181620292E+00, 0.0000000000000E+00,-0.2264908779575E-02, 0.9987207302239E+00
 0.3855104000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3855104000000E+03,-0.7750759577895E-03,-0.1883212079983E-01,-0.1960719675762E-01, 0.3854907928032E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1068375166811E-03, 0.0000000000000E+00,-0.1868495080374E-03,-0.1106763631007E-02, 0.0000000000000E+00,-0.1960384256276E-02,-0.1213601147688E-02, 0.0000000000000E+00,-0.2147233764313E-02, 0.9987863988523E+00, 0.0000000000000E+00,-0.2147233764313E-02, 0.9987887069572E+00
 0.3856905000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3856905000000E+03,-0.7941208021102E-03,-0.1903064955122E-01,-0.1982477035333E-01, 0.3856706752296E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.9483269585165E-04, 0.0000000000000E+00,-0.1661011542336E-03,-0.1118762870664E-02, 0.0000000000000E+00,-0.1981622606292E-02,-0.1213595566516E-02, 0.0000000000000E+00,-0.2147723760525E-02, 0.9987864044335E+00, 0.0000000000000E+00,-0.2147723760525E-02, 0.9987887135919E+00
 0.3858707000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3858707000000E+03,-0.8119376476111E-03,-0.1924003420257E-01,-0.2005197185018E-01, 0.3858506480281E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1102402220220E-03, 0.0000000000000E+00,-0.1928292267168E-03,-0.1172704098415E-02, 0.0000000000000E+00,-0.2075532099814E-02,-0.1282944320437E-02, 0.0000000000000E+00,-0.2268361326531E-02, 0.9987170556796E+00, 0.0000000000000E+00,-0.2268361326531E-02, 0.9987196317127E+00
 0.3860509000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3860509000000E+03,-0.8335278489166E-03,-0.1944796182037E-01,-0.2028148966929E-01, 0.3860306185103E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1146252837252E-03, 0.0000000000000E+00,-0.2004746073843E-03,-0.1124617524129E-02, 0.0000000000000E+00,-0.1992721614852E-02,-0.1239242807854E-02, 0.0000000000000E+00,-0.2193196222236E-02, 0.9987607571921E+00, 0.0000000000000E+00,-0.2193196222236E-02, 0.9987631652282E+00
 0.3862311000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3862311000000E+03,-0.8514892714069E-03,-0.1964629923853E-01,-0.2049778850993E-01, 0.3862106022115E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1022077380473E-03, 0.0000000000000E+00,-0.1790084693731E-03,-0.1103155503559E-02, 0.0000000000000E+00,-0.1956003614040E-02,-0.1205363241607E-02, 0.0000000000000E+00,-0.2135012083413E-02, 0.9987946367584E+00, 0.0000000000000E+00,-0.2135012083413E-02, 0.9987969186446E+00
 0.3864113000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3864113000000E+03,-0.8670361628784E-03,-0.1986255739983E-01,-0.2072959356271E-01, 0.3863905704064E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.8514495985025E-04, 0.0000000000000E+00,-0.1494917415739E-03,-0.1194513163674E-02, 0.0000000000000E+00,-0.2114735118836E-02,-0.1279658123524E-02, 0.0000000000000E+00,-0.2264226860409E-02, 0.9987203418765E+00, 0.0000000000000E+00,-0.2264226860409E-02, 0.9987229085192E+00
 0.3865914000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3865914000000E+03,-0.8852488676722E-03,-0.2007136602345E-01,-0.2095661489112E-01, 0.3865704433851E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1080746771734E-03, 0.0000000000000E+00,-0.1892494728644E-03,-0.1131404112419E-02, 0.0000000000000E+00,-0.2005907159336E-02,-0.1239478789592E-02, 0.0000000000000E+00,-0.2195156632200E-02, 0.9987605212104E+00, 0.0000000000000E+00,-0.2195156632200E-02, 0.9987629335539E+00
 0.3867716000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3867716000000E+03,-0.9046763762883E-03,-0.2026997380267E-01,-0.2117465017896E-01, 0.3867504253498E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1135838220534E-03, 0.0000000000000E+00,-0.1988367860585E-03,-0.1065991434370E-02, 0.0000000000000E+00,-0.1893065464971E-02,-0.1179575256424E-02, 0.0000000000000E+00,-0.2091902251029E-02, 0.9988204247436E+00, 0.0000000000000E+00,-0.2091902251029E-02, 0.9988226153527E+00
 0.3869518000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3869518000000E+03,-0.9246273867838E-03,-0.2048863894898E-01,-0.2141326633577E-01, 0.3869303867337E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1050954111891E-03, 0.0000000000000E+00,-0.1841814416286E-03,-0.1193459642180E-02, 0.0000000000000E+00,-0.2114347084105E-02,-0.1298555053369E-02, 0.0000000000000E+00,-0.2298528525733E-02, 0.9987014449466E+00, 0.0000000000000E+00,-0.2298528525733E-02, 0.9987040899946E+00
 0.3871320000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3871320000000E+03,-0.9429237563378E-03,-0.2069700209984E-01,-0.2163992585617E-01, 0.3871103600741E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.9720182230656E-04, 0.0000000000000E+00,-0.1705521379286E-03,-0.1123230924618E-02, 0.0000000000000E+00,-0.1993186692359E-02,-0.1220432746924E-02, 0.0000000000000E+00,-0.2163738830288E-02, 0.9987795672531E+00, 0.0000000000000E+00,-0.2163738830288E-02, 0.9987819109936E+00
 0.3873122000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3873122000000E+03,-0.9598365225100E-03,-0.2089559718251E-01,-0.2185543370502E-01, 0.3872903445663E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.8968334476033E-04, 0.0000000000000E+00,-0.1575691636047E-03,-0.1081209685778E-02, 0.0000000000000E+00,-0.1920860214761E-02,-0.1170893030539E-02, 0.0000000000000E+00,-0.2078429378365E-02, 0.9988291069695E+00, 0.0000000000000E+00,-0.2078429378365E-02, 0.9988312694335E+00
 0.3874923000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3874923000000E+03,-0.9751470468935E-03,-0.2111228991963E-01,-0.2208743696653E-01, 0.3874702125630E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.8297268654956E-04, 0.0000000000000E+00,-0.1459823117703E-03,-0.1159002987483E-02, 0.0000000000000E+00,-0.2056097556390E-02,-0.1241975674033E-02, 0.0000000000000E+00,-0.2202079868160E-02, 0.9987580243260E+00, 0.0000000000000E+00,-0.2202079868160E-02, 0.9987604519159E+00
 0.3876725000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3876725000000E+03,-0.9897775593350E-03,-0.2131626195197E-01,-0.2230603951131E-01, 0.3876501939605E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.8340928609936E-04, 0.0000000000000E+00,-0.1467729070295E-03,-0.1105467247062E-02, 0.0000000000000E+00,-0.1963840104839E-02,-0.1188876533162E-02, 0.0000000000000E+00,-0.2110613011869E-02, 0.9988111234668E+00, 0.0000000000000E+00,-0.2110613011869E-02, 0.9988133534592E+00
 0.3878527000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3878527000000E+03,-0.1004885413312E-02,-0.2151122749524E-01,-0.2251611290856E-01, 0.3878301838871E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.7605546950091E-04, 0.0000000000000E+00,-0.1340711920945E-03,-0.1139697275455E-02, 0.0000000000000E+00,-0.2023574528532E-02,-0.1215752744956E-02, 0.0000000000000E+00,-0.2157645720626E-02, 0.9987842472550E+00, 0.0000000000000E+00,-0.2157645720626E-02, 0.9987865778032E+00
 0.3880329000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3880329000000E+03,-0.1018078135490E-02,-0.2172865511067E-01,-0.2274673324616E-01, 0.3880101532668E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.6432343112036E-04, 0.0000000000000E+00,-0.1137817100947E-03,-0.1105313630714E-02, 0.0000000000000E+00,-0.1964519397566E-02,-0.1169637061835E-02, 0.0000000000000E+00,-0.2078301107661E-02, 0.9988303629382E+00, 0.0000000000000E+00,-0.2078301107661E-02, 0.9988325251326E+00
